sequence_name,gc_content,P2,RNA,terH,total_score
sample3444,37.41429970617042,0.022037218413320275,0.2459578637922587,0.011280039234919078,0
sample6016,36.416747809152874,0.022037218413320275,0.24629812438302073,0.01121404193076548,0
sample6210,29.774730656219393,0.022037218413320275,0.24604743083003952,0.011296660117878193,0
sample4178,28.844270323212537,0.022037218413320275,0.24326970141948115,0.011324470704086657,0
sample1207,23.75609756097561,0.022037218413320275,0.24027237354085604,0.011420059582919563,0
sample1421,22.434017595307918,0.022037218413320275,0.24126046282619398,0.011307767944936086,0
sample7320,55.6479217603912,0.022026431718061675,0.2459578637922587,0.011285574092247301,0
sample4744,51.442542787286065,0.022026431718061675,0.24486803519061584,0.011296660117878193,0
sample6455,47.46588693957115,0.022026431718061675,0.24463937621832357,0.01121404193076548,0
sample8194,41.053144807411016,0.022026431718061675,0.24547677261613693,0.01121951219512195,0
sample605,40.23494860499266,0.022026431718061675,0.24729064039408866,0.011263467189030362,0
sample7450,36.25244618395303,0.022026431718061675,0.2449877750611247,0.011268985791278784,0
sample8538,33.87096774193548,0.022026431718061675,0.24474841231069858,0.011263467189030362,0
sample7625,32.89409468033187,0.022026431718061675,0.24448799608035277,0.011318897637795276,0
sample140,32.19178082191781,0.022026431718061675,0.2455795677799607,0.011575239053850024,0
sample3050,28.2640586797066,0.022026431718061675,0.2422907488986784,0.011397423191278493,0
sample5470,54.06066536203522,0.02201565557729941,0.24449877750611246,0.011280039234919078,0
sample340,49.16829745596869,0.02201565557729941,0.24449877750611246,0.011268985791278784,0
sample1414,48.7279843444227,0.02201565557729941,0.2448478900883219,0.011274509803921568,0
sample3659,40.75342465753425,0.02201565557729941,0.24510763209393346,0.011280039234919078,0
sample1290,36.394723986321445,0.02201565557729941,0.24462890625,0.011285574092247301,0
sample9278,34.474327628361856,0.02201565557729941,0.24534769833496572,0.011246943765281174,0
sample8438,32.6161369193154,0.02201565557729941,0.24365234375,0.011257953989231522,0
sample1540,31.329423264907135,0.02201565557729941,0.24206930209858468,0.011285574092247301,0
sample1703,48.33822091886608,0.022004889975550123,0.24474841231069858,0.011358024691358024,0
sample2618,47.54018509498295,0.022004889975550123,0.2448780487804878,0.01121404193076548,0
sample6487,45.40566959921799,0.022004889975550123,0.24437927663734116,0.011241446725317693,0
sample2738,45.16129032258065,0.022004889975550123,0.24644084437898872,0.011252446183953033,0
sample1742,43.960880195599024,0.022004889975550123,0.245717082721488,0.011318897637795276,0
sample9252,37.99511002444988,0.022004889975550123,0.24437927663734116,0.011380504700643246,0
sample6986,37.774524158125914,0.022004889975550123,0.24523693209574987,0.01123046875,0
sample3884,36.381418092909534,0.022004889975550123,0.24389051808406648,0.011280039234919078,0
sample7130,30.532486565705913,0.022004889975550123,0.24159766195811008,0.011280039234919078,0
sample5300,29.43765281173594,0.022004889975550123,0.24205378973105135,0.011252446183953033,0
sample2220,27.712609970674485,0.022004889975550123,0.24232081911262798,0.011257953989231522,0
sample8297,46.63615560640732,0.021994134897360705,0.22140896614821592,0.010531135531135532,0
sample1869,43.83828543594739,0.021994134897360705,0.24233576642335766,0.01123046875,0
sample2916,43.13629702002931,0.021994134897360705,0.24523693209574987,0.011252446183953033,0
sample1406,41.5002435460302,0.021994134897360705,0.2448780487804878,0.011208576998050682,0
sample9368,40.56557776694295,0.021994134897360705,0.24427108727450025,0.011235955056179775,0
sample4372,37.71372740595994,0.021994134897360705,0.24462890625,0.011252446183953033,0
sample6738,37.060546875,0.021994134897360705,0.24486803519061584,0.01123046875,0
sample83,36.77545056015587,0.021994134897360705,0.24462890625,0.01121951219512195,0
sample9090,36.62109375,0.021994134897360705,0.2440214738897023,0.01123046875,0
sample1850,32.24390243902439,0.021994134897360705,0.24378352023403219,0.01121951219512195,0
sample2888,28.536703937773456,0.021994134897360705,0.2413793103448276,0.01118133203694701,0
sample3946,61.96977084349098,0.021983390327308255,0.24027237354085604,0.01121951219512195,0
sample5413,48.31953239162202,0.021983390327308255,0.2439143135345667,0.011369253583786456,0
sample1947,39.6484375,0.021983390327308255,0.244140625,0.011252446183953033,0
sample9308,38.48780487804878,0.021983390327308255,0.24366471734892786,0.011274509803921568,0
sample8159,35.302734375,0.021983390327308255,0.2445095168374817,0.011241446725317693,0
sample89,34.9609375,0.021983390327308255,0.246078431372549,0.01131333005410723,0
sample5594,50.68359375,0.02197265625,0.245717082721488,0.011252446183953033,0
sample6491,46.05263157894737,0.02197265625,0.24475865431496832,0.01121951219512195,0
sample1688,44.36310395314788,0.02197265625,0.24535679374389052,0.011280039234919078,0
sample2898,39.726695949243535,0.02197265625,0.2440214738897023,0.011263467189030362,0
sample9136,38.797284190106694,0.02197265625,0.2423654871546292,0.011170471102476931,0
sample5397,38.26256710590532,0.02197265625,0.24439024390243902,0.011296660117878193,0
sample6940,37.66423357664234,0.02197265625,0.24428223844282237,0.011203117389186557,0
